0,1,2,3,4,5,6,7,8,9,10
candy,bottled water,,,,,,,,,
meat,butter,cleaner,misc. beverages,,,,,,,
specialty bar,margarine,,,,,,,,,
sausage,citrus fruit,whole milk,butter milk,salty snack,dessert,specialty chocolate,,,,
dessert,root vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
misc. beverages,pip fruit,,,,,,,,,
dessert,brown bread,,,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
herbs,root vegetables,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
snack products,soda,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
canned fish,shopping bags,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
cat food,white bread,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
tropical fruit,bottled beer,other vegetables,meat,roll products ,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
onions,frankfurter,cream cheese ,oil,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
tropical fruit,whole milk,whole milk,,,,,,,,
chicken,salty snack,,,,,,,,,
chicken,nut snack,,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
pork,meat,whole milk,salty snack,whole milk,frozen potato products,processed cheese,rolls/buns,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
curd,coffee,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
brown bread,yogurt,,,,,,,,,
meat,other vegetables,zwieback,,,,,,,,
whole milk,soda,tea,,,,,,,,
domestic eggs,whole milk,bottled beer,,,,,,,,
coffee,domestic eggs,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
canned fish,cream cheese ,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,root vegetables,oil,,,,,,,,
coffee,hamburger meat,,,,,,,,,
pork,oil,,,,,,,,,
tropical fruit,frozen meals,yogurt,other vegetables,,,,,,,
beverages,bottled beer,domestic eggs,chocolate,,,,,,,
citrus fruit,onions,,,,,,,,,
curd,pip fruit,,,,,,,,,
other vegetables,margarine,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
meat spreads,shopping bags,,,,,,,,,
sausage,white wine,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
pastry,baking powder,butter,margarine,curd,dishes,,,,,
citrus fruit,butter milk,cream cheese ,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
sausage,pip fruit,bottled water,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
pastry,napkins,shopping bags,margarine,,,,,,,
tropical fruit,soda,,,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
yogurt,butter,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
root vegetables,ham,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
snack products,liquor (appetizer),,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
coffee,bottled beer,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whole milk,sausage,root vegetables,long life bakery product,frozen vegetables,,,,,,
tropical fruit,curd,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
beef,soft cheese,,,,,,,,,
light bulbs,detergent,,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
canned fruit,whole milk,,,,,,,,,
canned beer,yogurt,white bread,,,,,,,,
pip fruit,shopping bags,yogurt,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soda,rolls/buns,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,liver loaf,,,,,,,,,
brown bread,cat food,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
bottled water,chocolate,,,,,,,,,
herbs,white bread,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
meat,butter,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
soda,flour,pudding powder,,,,,,,,
chocolate,butter,,,,,,,,,
whole milk,sugar,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
organic products,root vegetables,,,,,,,,,
UHT-milk,pip fruit,,,,,,,,,
soda,specialty bar,,,,,,,,,
butter,photo/film,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
pip fruit,butter,,,,,,,,,
frankfurter,frankfurter,ham,beef,baby cosmetics,other vegetables,domestic eggs,artif. sweetener,margarine,,
rolls/buns,other vegetables,,,,,,,,,
beef,curd,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
cat food,pasta,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pip fruit,candles,rolls/buns,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
pastry,syrup,,,,,,,,,
pork,citrus fruit,,,,,,,,,
chocolate,mustard,white bread,,,,,,,,
butter milk,soda,,,,,,,,,
butter milk,whole milk,,,,,,,,,
soda,canned fish,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
canned beer,pastry,,,,,,,,,
other vegetables,brandy,,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
sausage,whole milk,,,,,,,,,
specialty chocolate,onions,,,,,,,,,
cereals,dessert,,,,,,,,,
chocolate marshmallow,yogurt,detergent,,,,,,,,
rolls/buns,napkins,bottled beer,,,,,,,,
chocolate,brown bread,,,,,,,,,
seasonal products,herbs,spread cheese,pickled vegetables,,,,,,,
yogurt,whole milk,abrasive cleaner,,,,,,,,
bathroom cleaner,other vegetables,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
hamburger meat,cookware,pastry,,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
bottled water,hard cheese,,,,,,,,,
canned beer,berries,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
candy,margarine,,,,,,,,,
shopping bags,curd,,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
brown bread,pastry,canned beer,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
hamburger meat,organic sausage,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
brown bread,misc. beverages,,,,,,,,,
bottled water,bottled water,,,,,,,,,
margarine,newspapers,,,,,,,,,
soap,rum,,,,,,,,,
soda,butter,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
rolls/buns,whole milk,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,pork,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
coffee,whole milk,,,,,,,,,
butter,onions,napkins,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
frankfurter,pork,tropical fruit,pastry,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
root vegetables,chocolate,,,,,,,,,
softener,yogurt,cling film/bags,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
ham,bottled beer,,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
meat,pip fruit,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
misc. beverages,white bread,,,,,,,,,
pork,canned beer,specialty bar,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
chicken,shopping bags,,,,,,,,,
whole milk,sauces,,,,,,,,,
bottled water,sauces,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
dessert,napkins,,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
berries,other vegetables,,,,,,,,,
flower (seeds),shopping bags,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
butter,whole milk,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
soda,newspapers,,,,,,,,,
whole milk,tropical fruit,chocolate,,,,,,,,
candles,coffee,,,,,,,,,
rolls/buns,white wine,,,,,,,,,
whole milk,pot plants,,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
sausage,rolls/buns,soda,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
turkey,kitchen towels,,,,,,,,,
whole milk,candy,,,,,,,,,
fish,bottled beer,,,,,,,,,
pastry,specialty bar,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
butter,onions,butter milk,,,,,,,,
brown bread,yogurt,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
sausage,detergent,salty snack,,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
newspapers,hard cheese,,,,,,,,,
whole milk,semi-finished bread,,,,,,,,,
other vegetables,soda,pickled vegetables,,,,,,,,
onions,white wine,,,,,,,,,
butter,whole milk,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
detergent,other vegetables,oil,beverages,rolls/buns,specialty bar,,,,,
pet care,brown bread,,,,,,,,,
berries,root vegetables,,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
pip fruit,brown bread,oil,,,,,,,,
misc. beverages,cream cheese ,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
candy,cream cheese ,brown bread,soda,,,,,,,
white bread,chocolate marshmallow,,,,,,,,,
frankfurter,mayonnaise,whipped/sour cream,pastry,misc. beverages,,,,,,
pork,sugar,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
citrus fruit,herbs,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
long life bakery product,frozen vegetables,,,,,,,,,
turkey,bottled water,other vegetables,newspapers,,,,,,,
pip fruit,canned vegetables,,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
beef,bottled water,bottled water,,,,,,,,
root vegetables,other vegetables,specialty chocolate,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
canned fish,brown bread,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
cream cheese ,white bread,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
other vegetables,onions,,,,,,,,,
photo/film,white bread,,,,,,,,,
whipped/sour cream,shopping bags,soda,,,,,,,,
hamburger meat,white bread,,,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
ham,misc. beverages,,,,,,,,,
berries,bottled water,curd,shopping bags,,,,,,,
other vegetables,sausage,onions,whole milk,chocolate,,,,,,
tropical fruit,coffee,red/blush wine,,,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
yogurt,softener,,,,,,,,,
chocolate,soda,,,,,,,,,
root vegetables,yogurt,chocolate,shopping bags,,,,,,,
other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
cream cheese ,yogurt,,,,,,,,,
ice cream,onions,soda,,,,,,,,
frozen meals,rolls/buns,butter,fruit/vegetable juice,,,,,,,
soups,whole milk,beef,bottled beer,,,,,,,
whole milk,hair spray,butter,pastry,,,,,,,
bottled water,citrus fruit,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
bottled water,yogurt,newspapers,soda,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
oil,misc. beverages,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
fruit/vegetable juice,white wine,,,,,,,,,
tropical fruit,coffee,softener,soda,,,,,,,
dog food,brown bread,salty snack,,,,,,,,
pork,root vegetables,hamburger meat,frankfurter,coffee,curd,cake bar,soda,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
rolls/buns,beef,,,,,,,,,
root vegetables,frozen dessert,oil,,,,,,,,
chocolate,pastry,butter,,,,,,,,
pork,root vegetables,,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
canned beer,red/blush wine,salty snack,,,,,,,,
pickled vegetables,onions,,,,,,,,,
frozen fish,curd,,,,,,,,,
waffles,fruit/vegetable juice,,,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
other vegetables,yogurt,,,,,,,,,
root vegetables,coffee,,,,,,,,,
detergent,liquor (appetizer),,,,,,,,,
rolls/buns,soda,,,,,,,,,
chicken,white bread,,,,,,,,,
bottled water,bottled water,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
canned beer,curd,,,,,,,,,
liver loaf,herbs,,,,,,,,,
whole milk,napkins,,,,,,,,,
root vegetables,beef,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
beef,mayonnaise,,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
beef,butter,chocolate,frozen meals,napkins,margarine,,,,,
rolls/buns,specialty bar,,,,,,,,,
beef,pastry,candy,,,,,,,,
chicken,waffles,pip fruit,tropical fruit,pastry,bottled water,shopping bags,bottled water,,,
citrus fruit,cream cheese ,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
whole milk,butter,,,,,,,,,
salt,citrus fruit,,,,,,,,,
sausage,butter,,,,,,,,,
grapes,semi-finished bread,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
chewing gum,soda,,,,,,,,,
beef,white bread,,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
pork,yogurt,napkins,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
soda,pip fruit,pastry,jam,,,,,,,
packaged fruit/vegetables,fish,frozen meals,specialty chocolate,brown bread,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
beef,butter,yogurt,,,,,,,,
frozen vegetables,chicken,,,,,,,,,
hamburger meat,pork,chicken,whole milk,,,,,,,
waffles,chicken,hard cheese,dishes,,,,,,,
chocolate marshmallow,soda,,,,,,,,,
liquor (appetizer),chocolate,soda,,,,,,,,
canned beer,brown bread,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
sausage,canned vegetables,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
white bread,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
canned beer,male cosmetics,white wine,ice cream,,,,,,,
male cosmetics,soda,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
frozen fish,mustard,,,,,,,,,
curd,brown bread,whole milk,chewing gum,,,,,,,
shopping bags,curd,hard cheese,,,,,,,,
hamburger meat,margarine,,,,,,,,,
frankfurter,chicken,processed cheese,dessert,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese,,,
beef,other vegetables,,,,,,,,,
root vegetables,soups,,,,,,,,,
sausage,roll products ,,,,,,,,,
chicken,soda,,,,,,,,,
zwieback,bottled water,,,,,,,,,
dishes,butter milk,,,,,,,,,
cake bar,whipped/sour cream,,,,,,,,,
dish cleaner,ice cream,jam,newspapers,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
pork,pork,,,,,,,,,
male cosmetics,baking powder,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
whole milk,brown bread,,,,,,,,,
yogurt,pet care,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
yogurt,citrus fruit,ice cream,soups,,,,,,,
dish cleaner,fruit/vegetable juice,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
citrus fruit,rolls/buns,long life bakery product,,,,,,,,
shopping bags,curd,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
newspapers,roll products ,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
butter,rolls/buns,,,,,,,,,
chicken,soda,,,,,,,,,
root vegetables,root vegetables,root vegetables,pastry,,,,,,,
liquor,yogurt,napkins,,,,,,,,
sausage,pastry,dish cleaner,,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
zwieback,sausage,whole milk,soda,canned beer,hygiene articles,,,,,
beverages,curd,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
canned beer,detergent,root vegetables,root vegetables,butter milk,,,,,,
napkins,coffee,,,,,,,,,
sliced cheese,soda,,,,,,,,,
oil,pickled vegetables,,,,,,,,,
salty snack,white wine,,,,,,,,,
candy,soda,,,,,,,,,
pork,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
berries,coffee,margarine,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
bottled water,whole milk,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
shopping bags,rice,,,,,,,,,
yogurt,baking powder,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
meat spreads,sliced cheese,,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
onions,dish cleaner,,,,,,,,,
soda,soda,canned beer,frozen dessert,tropical fruit,whole milk,bottled water,specialty bar,domestic eggs,,
newspapers,chicken,root vegetables,curd,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
hamburger meat,whole milk,,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
sausage,root vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,sausage,dog food,yogurt,hygiene articles,chocolate,,,,,
roll products ,specialty chocolate,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
other vegetables,dessert,other vegetables,fruit/vegetable juice,,,,,,,
sauces,rolls/buns,soda,whipped/sour cream,,,,,,,
waffles,whole milk,,,,,,,,,
other vegetables,dessert,,,,,,,,,
specialty chocolate,cat food,,,,,,,,,
ham,other vegetables,,,,,,,,,
curd,cling film/bags,candy,rolls/buns,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
specialty chocolate,pork,,,,,,,,,
hygiene articles,bottled water,candy,,,,,,,,
